,name,named_after,label,x,y
0,Massalia,Marseille,city,43.296666666667,5.3763888888889
12,Lutetia,Lutetia,archaeological site,48.8547222222222,2.3475
28,Phocaea,Phocaea,city,38.6675,26.758055555556
38,Nemausa,Nemausus,location of discovery,43.83777778,4.36083333
56,Aegina,Aegina,Greek deity,37.73,23.49
62,Lydia,Lydia,former administrative territorial entity,40,30
70,Austria,Austria,state,48,14
80,Tolosa,Toulouse,city,43.6044444444445,1.44333333333333
90,Juewa,China,region,35105,
93,Polana,Pula,second-level administrative division,44.8702777777778,13.8455555555556
97,Adria,Adriatic Sea,water area,42.775833,15.426111
102,Gallia,Gaul,region,46.5,2.9
117,Garumna,Garonne,stream,42.6178,0.9689
119,Istria,Istria,landform,45,14
122,Phthia,Phthia,region,38.9,22.53333333
126,Pompeja,Pompeii,location of discovery,40.750556,14.489722
132,Lacrimosa,Our Lady of Sorrows,title of a particular person or being,45.62012,7.780625
135,Oceana,Pacific Ocean,marine water body,0,-160
139,Weringia,Währing,political territorial entity,48.2331,16.3147
141,Vindobona,Vienna,big city,48.2083333333333,16.3725
164,Russia,Russia,state,66.4166666666667,94.25
174,Carolina,Caroline Island,landform,-9.955,-150.2125
179,Germania,Germany,state,51,10
190,Ilse,Princess Ilse,natural geographic object,51.850277777778,10.665833333333
194,Oppavia,Opava,municipality of the Czech Republic,49.938055555556,17.904444444444
208,Silesia,Silesia,region,51.1035,17.0396
215,Dresda,Dresden,city,51.05,13.74
222,Bruna,Brno,city,49.195277777778,16.608333333333
238,Brasilia,Brazil,state,-14,-53
245,Bavaria,Bavaria,federated state,49.0786111111111,11.3855555555556
249,Bamberga,Bamberg,city,49.891666666667,10.891666666667
261,Heidelberga,Heidelberg,city,49.412222222222,8.71
270,Svea,Sweden,state,61,15
274,Badenia,Baden,spatial region,49.01666667,8.4
276,Chicago,Chicago,city,41.8819444444444,-87.6277777777778
280,Lacadiera,La Cadière-d'Azur,territorial collectivity of France,43.195833333333,5.7555555555556
287,California,California,electoral unit,37,-120
293,Hermentaria,Herment,territorial collectivity of France,45.753611111111,2.5683333333333
300,Ruperto-Carola,Heidelberg University,public university,49.410277777778,8.7063888888889
310,Liguria,Liguria,first-level administrative division,44.45,8.7666666666667
315,Apollonia,Apollonia,ancient city,40.721672,19.472658
323,Bononia,Bologna,city,44.493888888889,11.342777777778
333,Havnia,Copenhagen,city,55.676111111111,12.568888888889
341,Padua,Padua,city,45.4077777777778,11.8733333333333
351,Isara,Isère,stream,45.4464,7.0928
353,Corduba,Córdoba,LAU 2,37.89,-4.78
358,Bohemia,Bohemia,region,49.833333333333,14.333333333333
362,Palma,Palma,city,39.566666666667,2.6497222222222
374,Campania,Campania,first-level administrative division,40.9105555555556,14.9205555555556
379,Holmia,Stockholm,city,59.329444444444,18.068611111111
389,Huenna,Ven,geographic location,55.905833333333,12.695
393,Dodona,Dodona,location of discovery,39.546389,20.787778
402,Burdigala,Bordeaux,city,44.837777777778,-0.57944444444444
410,Siegena,Siegen,city,50.875555555556,8.0166666666667
417,Aquitania,Gallia Aquitania,administrative territorial entity of ancient Rome,44.837778,-0.579444
419,Alma,Alma,stream,44.8458,33.5928
421,Aeolia,Aeolis,region,39.2,26.7
425,Palatia,Electoral Palatinate,former administrative territorial entity,49.5,8.01666944444444
438,Vaticana,Vatican Hill,landform,41.903611111111,12.450277777778
440,Zahringia,House of Zähringen,noble family,48.0252,7.88406
442,Berolina,Berlin,city,52.516666666667,13.383333333333
464,Hippo,Hippo Regius,ancient city,36.8825,7.75
470,Monachia,Munich,city,48.1375,11.575
486,Hungaria,Hungary,state,47,19
494,Ohio,Ohio,electoral unit,40.5,-82.5
502,Eichsfeldia,Eichsfeld,spatial region,51.33,10.25
508,Hamburga,Hamburg,city,53.55,10
530,Hamiltonia,Mount Hamilton,natural geographic object,37.341666666667,-121.64305555556
532,Bruchsalia,Bruchsal,city,49.133333333333,8.6
536,Alleghenia,Allegheny Observatory,observatory,40.4825,-80.0208
537,Scania,Scania,historical administrative division,55.8,13.61666667
540,Argentina,Argentina,state,-34,-64
548,Kilia,Kiel,city,54.323333333333,10.139444444444
558,Roma,Rome,city,41.893055555556,12.482777777778
573,Tergeste,Trieste,city,45.6502777777778,13.7702777777778
583,Caprera,Caprera,geographic location,41.2,9.4666666666667
587,Pittsburghia,Pittsburgh,city,40.4416666666667,-80
594,Genua,Genoa,city,44.407186111111,8.9339833333333
600,Cremona,Cremona,city,45.1333333333333,10.0247222222222
