country_of_citizenship,counter
United States,808
Soviet Union,357
Japan,342
Russian Empire,322
France,309
Germany,275
United Kingdom,190
Italy,162
Kingdom of the Netherlands,124
Belgium,103
Sweden,83
Kingdom of Prussia,78
Canada,76
United Kingdom of Great Britain and Ireland,73
Czechoslovakia,71
Switzerland,50
Hungary,46
Austria,46
People's Republic of China,45
Russia,44
Kingdom of Italy,42
Kingdom of Denmark,42
Czech Republic,42
Spain,41
Austrian Empire,41
Argentina,41
Finland,40
Australia,39
Ancient Rome,37
Kingdom of France,29
Dutch Republic,26
Holy Roman Empire,24
German Reich,24
Austria-Hungary,24
New Zealand,22
Kingdom of Great Britain,22
Classical Athens,21
Slovakia,18
Kingdom of England,18
Poland,17
Norway,17
Cisleithania,16
Republic of Venice,15
Kingdom of Saxony,14
Brazil,14
Republic of Florence,13
Kingdom of Bavaria,11
South Africa,10
Kingdom of Bohemia,10
Ireland,10
India,10
Ukraine,9
South Korea,9
Israel,9
German Empire,9
Ancient Egypt,9
Kingdom of Hanover,8
Tsardom of Russia,7
Troy,7
Romania,7
Kingdom of Württemberg,7
Habsburg Netherlands,7
Chile,7
Bulgaria,7
Taiwan,6
Southern Netherlands,6
Russian Socialist Federative Soviet Republic,6
Mexico,6
Estonia,6
Electorate of Saxony,6
Duchy of Milan,6
Ukrainian People's Republic,5
Thebes,5
Papal States,5
Habsburg monarchy,5
Saxe-Weimar-Eisenach,4
Republic of Geneva,4
Polish–Lithuanian Commonwealth,4
Peru,4
Hamburg,4
Grand Principality of Finland,4
Grand Duchy of Baden,4
German Democratic Republic,4
Duchy of Holstein,4
Achaemenid Empire,4
Venezuela,3
Uruguay,3
Serbia,3
Republic of Genoa,3
Republic of China,3
Qing dynasty,3
Looking-Glass Land,3
Latvia,3
Kingdom of Scotland,3
Kingdom of Portugal,3
Kingdom of Naples,3
Kenya,3
Greece,3
Egypt,3
China,3
Weimar Republic,2
United Kingdom of the Netherlands,2
Tang dynasty,2
Sparta,2
Spanish Netherlands,2
Seventeen Provinces,2
Samos,2
Ptolemaic Kingdom,2
Principality of Waldeck and Pyrmont,2
Principality of Ansbach,2
Paraguay,2
Old Swiss Confederacy,2
New Kingdom of Egypt,2
Nazi Germany,2
Ming dynasty,2
Miletus,2
Lithuania,2
Kingdom of Yugoslavia,2
Kingdom of Sicily,2
Kingdom of Lombardy–Venetia,2
Kingdom of Georgia,2
Kievan Rus',2
Iran,2
Inca Empire,2
Grand Principality of Moscow,2
Grand Duchy of Mecklenburg-Schwerin,2
Empire of Japan,2
Electorate of Hanover,2
Duchy of Saxe-Coburg and Gotha,2
Duchy of Brunswick,2
Crown of Castile,2
Byzantine Empire,2
British Raj,2
ancient Syracuse,1
Zulu Kingdom,1
Zhou dynasty,1
Yuan dynasty,1
Western Han,1
West Germany,1
Wales,1
United Federation of Planets,1
Union of South Africa,1
Turkey,1
The Shire,1
Thailand,1
Tawalisi,1
Tajikistan,1
Sri Lanka,1
Song dynasty,1
Socialist Federal Republic of Yugoslavia,1
Singapore,1
Sicyon,1
Sheba,1
Seljuk Empire,1
Second Spanish Republic,1
Second Polish Republic,1
Scotland,1
Schwarzburg-Rudolstadt,1
Saxe-Gotha-Altenburg,1
Saxe-Eisenach,1
Samanid Empire,1
Russian Republic,1
Riograndense Republic,1
Rhodes,1
Republic of Ragusa,1
Republic of Pisa,1
Republic of Mulhouse,1
Puerto Rico,1
Principality of Tver,1
Principality of Moldavia,1
Prince-Bishopric of Lübeck,1
Prince-Bishopric of Liège,1
Prince-Bishopric of Bamberg,1
Prince-Archbishopric of Salzburg,1
Portugal,1
Phrygia,1
Philistia,1
People's Republic of Bulgaria,1
Ostrogothic Kingdom,1
New Spain,1
Nepal,1
Mytilene,1
Muzaffarids of Iran,1
Morocco,1
Moldova,1
Massagetae,1
Malawi,1
Macedonia,1
Lübeck,1
Luxembourg,1
Liu Song dynasty,1
Lebanon,1
Landgraviate of Hesse-Darmstadt,1
Korea,1
Kingdom of the Two Sicilies,1
Kingdom of Wessex,1
Kingdom of Spain,1
Kingdom of Poland,1
Kingdom of Pergamon,1
Kingdom of Numidia,1
Kingdom of Mercia,1
Kingdom of Majorca,1
Kingdom of Judah,1
Kingdom of Israel,1
Kingdom of Ireland,1
Kingdom of Hungary,1
Khwarazmian Empire,1
Khanate of Khwarazm,1
Kasranids,1
Joseon,1
Irish Free State,1
Ionian League,1
Indonesia,1
Hunnic Empire,1
Hong Kong,1
Herodian Kingdom of Judea,1
Hanseatic League,1
Halicarnassus,1
Guatemala,1
Grand Duchy of Tuscany,1
Grand Duchy of Oldenburg,1
Grand Duchy of Lithuania,1
Goryeo,1
Free City of Danzig,1
Francia,1
First Bulgarian Empire,1
Ephesus,1
England,1
Electorate of Mainz,1
Electorate of Cologne,1
Eastern Han,1
Dutch East Indies,1
Duchy of Württemberg,1
Duchy of Saxe-Meiningen,1
Duchy of Modena and Reggio,1
Duchy of Ferrara,1
Duchy of Brabant,1
Doric hexapolis,1
Denmark,1
Czechoslovak Republic,1
Cyprus,1
Cyme,1
Crown Colony of Malta,1
Croatia,1
County of Tyrol,1
County of Flanders,1
Congress Poland,1
Confederation of the Rhine,1
Colony of Sierra Leone,1
Colombia,1
Carneola,1
Camelot,1
Burgundian Netherlands,1
Brunswick-Lüneburg,1
British Hong Kong,1
British Empire,1
British America,1
Bremen,1
Bolivia,1
Boeotian confederation,1
Biberach an der Riss,1
Barbados,1
Baekje,1
Bactria,1
Aztec Triple Alliance,1
Aztec,1
Azerbaijan,1
Assyrian Empire,1
Arverni,1
Archduchy of Austria,1
Angola,1
Ancient Carthage,1
Albania,1
Alba Longa,1
Acragas,1
Achaean League,1
Abbasid Caliphate,1
