subclass,counter
person,5284
omnivore,5277
natural person,5277
mammal,5277
individual animal,5277
city,525
municipality,195
open water,166
political territorial entity,163
city or town,161
urban settlement,158
territory,152
stream,150
group or class of living things,150
second-level administrative division,149
natural geographic object,147
elevation,146
settlement,121
fourth-level administrative division,117
"city, town or village of Japan",115
character,103
administrative territorial entity of the Czech Republic,80
statutory corporation,74
obec,74
imaginary human,65
fictional primate,65
fictional person,65
fictional humanoid,65
deity,61
organization,56
electoral unit,55
landform,54
LAU 2,49
territorial collectivity of France,46
physical location,45
fifth-level administrative division,42
commune,42
group of humans,40
first-level administrative division,38
geographical feature,37
region,36
legal form,34
local government,33
higher education institution,33
geographic location,33
administrative territorial entity of Finland,33
administrative territorial entity,33
prefecture-level division,32
university,31
administrative territorial entity of Japan,31
state,29
province-level division,29
landmass,29
juridical person,29
academic institution,29
Greek nymph,29
town,28
social system,27
person or organization,27
corporate body,27
complex system,27
regime,26
province,26
geolocatable entity,23
populated place,22
group of structures or buildings,22
public educational institution,20
group,20
rural settlement,19
nonprofit organization,19
population group,18
musical theatre character,18
imaginary character,18
federated state,18
urban area,17
still waters,17
prefecture,17
ordinary local public entity,17
urban area in Nordic countries,16
statistical territorial entity,16
overground still body of fresh water,16
list,16
economic entity,16
point of interest,15
moral quality,15
human settlement,15
Wikimedia internal item,15
Oceanids,15
Greek water deities,15
research university,14
public university,14
mountain range,14
locality,14
ecosystem,14
regional center of Germany,13
private educational institution,13
non-geologically related mountain range,13
human whose existence is disputed,13
habitat,13
figure of speech,13
artistic theme,13
abstract being,13
Wikimedia article page,13
republic,12
musical work/composition,12
dramatic work,12
city-state,12
census subdivision,12
ancient city,12
populated place in Ukraine,11
mythical entity,11
field of study,11
communications media,11
central place,11
urban-type settlement,10
publication,10
former administrative territorial entity,10
biblical character,10
type,9
third-level administrative division,9
serial,9
giant,9
character that may or may not be fictional,9
architectural structure,9
administrative territorial entity of Austria,9
Greek deity,9
waterwoman,8
protected area,8
natural heritage,8
natural geographic entity,8
literary character,8
intellectual work,8
county-level division,8
biome,8
architectural ensemble,8
administrative territorial entity of the People's Republic of China,8
administrative territorial entity of Spain,8
NUTS 3 statistical territorial entity,8
third-order administrative division,7
section of populated place,7
mythical character,7
municipio,7
literary work,7
human-geographic territorial entity,7
first-level NUTS of the European Union,7
facility,7
building,7
artificial object,7
art genre,7
administrative territorial entity of the United States,7
administrative divisions of Germany,7
village,6
trade magazine,6
social organization,6
single entity of population,6
populated place nucleus,6
non-governmental organization,6
mythological Greek character,6
mythical human-animal hybrid,6
mountain,6
military operation,6
member state,6
journal,6
integer,6
democracy,6
club,6
city district,6
urban municipality,5
scientific publication,5
railway station,5
programming language,5
powiat,5
national park,5
mythic humanoid,5
musical work,5
monarchy,5
landscape,5
historical event,5
fortification,5
federal system,5
entity,5
country,5
city of Japan,5
big city,5
academic journal,5
Hindu deity,5
Bezirk,5
区,4
work of art,4
work,4
type of social group,4
trail blazing,4
subsidiary entity,4
station,4
spirit of nature,4
special administrative region,4
social position,4
set of physical objects,4
public reserve,4
political union,4
periodical,4
park,4
occupation,4
nature park,4
municipal part,4
manorialism,4
little people,4
legendary progenitor,4
kindred,4
joint-stock company,4
institution,4
human language,4
government organization,4
goddess,4
geographically localized event,4
geographical area,4
food,4
fiefdom,4
fictional human,4
federation,4
executive branch,4
epithet,4
enterprise,4
dwelling place,4
drylands,4
direct-controlled municipality,4
description,4
department,4
combat,4
collective agent,4
class,4
civil engineering construction,4
business,4
being,4
band,4
autonomous administrative territorial entity of China,4
autonomous administrative territorial entity,4
armed conflict,4
Star Trek character,4
NUTS 2 statistical territorial entity,4
written work,3
