name,named_after,sex_or_gender,date_of_birth,date_of_death
Isis,Isis Pogson,female,1852-09-28T00:00:00Z,1945-05-14T00:00:00Z
Eugenia,Eugénie de Montijo,female,1826-05-05T00:00:00Z,1920-07-11T00:00:00Z
Virginia,Verginia,female,0460-01-01T00:00:00Z,0449-01-01T00:00:00Z
Alexandra,Alexander von Humboldt,male,1769-09-14T00:00:00Z,1859-05-06T00:00:00Z
Sappho,Sappho,female,0650-01-01T00:00:00Z,0570-01-01T00:00:00Z
Beatrix,Beatrice Portinari,female,1266-01-01T00:00:00Z,1290-01-01T00:00:00Z
Sylvia,Rhea Silvia,female,,0800-01-01T00:00:00Z
Julia,Julia of Corsica,female,0420-01-01T00:00:00Z,0450-01-01T00:00:00Z
Miriam,Miriam,female,1400-01-01T00:00:00Z,1274-01-01T00:00:00Z
Thyra,Thyra,female,0900-01-01T00:00:00Z,0958-01-01T00:00:00Z
Velleda,Veleda,female,0050-01-01T00:00:00Z,0100-01-01T00:00:00Z
Johanna,Joan of Arc,female,1412-01-01T00:00:00Z,1431-05-30T00:00:00Z
Hilda,Hilda von Oppolzer,female,1867-01-01T00:00:00Z,1877-01-01T00:00:00Z
Bertha,Berthe Flammarion,female,1844-10-16T00:00:00Z,1936-01-01T00:00:00Z
Xanthippe,Xanthippe,female,0500-01-01T00:00:00Z,0400-01-01T00:00:00Z
Laurentia,Joseph Jean Pierre Laurent,male,1823-01-31T00:00:00Z,1900-03-04T00:00:00Z
Lamberta,Johann Heinrich Lambert,male,1728-08-26T00:00:00Z,1777-09-25T00:00:00Z
Martha,Martha,female,0100-01-01T00:00:00Z,0100-01-01T00:00:00Z
Kleopatra,Cleopatra,female,0169-01-13T00:00:00Z,0130-08-12T00:00:00Z
Bianca,Bertha Schwarz,female,1855-01-28T00:00:00Z,1947-02-16T00:00:00Z
Thusnelda,Thusnelda,female,0100-01-01T00:00:00Z,0017-01-01T00:00:00Z
Stephania,Princess Stéphanie of Belgium,female,1864-05-21T00:00:00Z,1945-08-23T00:00:00Z
Lucia,Maria Lucia von Wilczek,female,1862-11-30T00:00:00Z,1958-11-27T00:00:00Z
Agathe,Agathe Freiin von Distler,female,1882-01-01T00:00:00Z,1958-01-01T00:00:00Z
Adelinda,Adelinda Weiss,female,1845-01-01T00:00:00Z,
Barbara,Saint Barbara,female,0273-01-01T00:00:00Z,0306-01-01T00:00:00Z
Honoria,Justa Grata Honoria,female,0417-01-01T00:00:00Z,
Coelestina,Coelestina Mautner von Markhof,female,1845-01-24T00:00:00Z,1923-10-22T00:00:00Z
Hypatia,Hypatia,female,0360-01-01T00:00:00Z,0415-03-01T00:00:00Z
Bettina,Bettina Caroline de Rothschild,female,1858-02-15T00:00:00Z,1892-03-24T00:00:00Z
Augusta,Auguste von Littrow,female,1819-02-13T00:00:00Z,1890-03-23T00:00:00Z
Walpurga,Saint Walpurga,female,0710-01-01T00:00:00Z,0779-02-25T00:00:00Z
Huberta,Hubertus,male,0655-01-01T00:00:00Z,0727-05-30T00:00:00Z
Lucretia,Caroline Herschel,female,1750-03-16T00:00:00Z,1848-01-09T00:00:00Z
Gordonia,James Gordon Bennett Jr.,male,1841-05-10T00:00:00Z,1918-05-14T00:00:00Z
Unitas,Angelo Secchi,male,1818-06-18T00:00:00Z,1878-02-26T00:00:00Z
Roxane,Roxana,female,0347-01-01T00:00:00Z,0310-01-01T00:00:00Z
Brucia,Catherine Wolfe Bruce,female,1816-01-22T00:00:00Z,1900-03-13T00:00:00Z
Tamara,Tamar of Georgia,female,1166-01-01T00:00:00Z,1213-01-18T00:00:00Z
Columbia,Christopher Columbus,male,1451-01-01T00:00:00Z,1506-05-20T00:00:00Z
Adalberta,Adalbert Merx,male,1838-11-02T00:00:00Z,1909-08-04T00:00:00Z
Roberta,Carl Robert Osten-Sacken,male,1828-08-21T00:00:00Z,1906-05-20T00:00:00Z
Dorothea,Dorothea Klumpke,female,1861-08-09T00:00:00Z,1942-10-05T00:00:00Z
Eduarda,Heinrich Eduard von Lade,male,1817-02-24T00:00:00Z,1904-08-07T00:00:00Z
Desiderata,Désirée Clary,female,1777-11-08T00:00:00Z,1860-12-17T00:00:00Z
May,Karl May,male,1842-02-25T00:00:00Z,1912-03-30T00:00:00Z
Dembowska,Ercole Dembowski,male,1812-01-12T00:00:00Z,1881-01-19T00:00:00Z
Ornamenta,Antoinette Horneman,female,,1905-12-14T00:00:00Z
Yrsa,Yrsa,female,,0600-01-01T00:00:00Z
Gabriella,Gabrielle Renaudot Flammarion,female,1877-05-31T00:00:00Z,1962-10-28T00:00:00Z
Georgia,George II of Great Britain,male,1683-11-10T00:00:00Z,1760-10-25T00:00:00Z
Vincentina,Vincenzo Cerulli,male,1859-04-20T00:00:00Z,1927-05-30T00:00:00Z
Wilhelmina,Wilhelmina of the Netherlands,female,1880-08-31T00:00:00Z,1962-11-28T00:00:00Z
Ottilia,Odile of Alsace,female,0662-01-01T00:00:00Z,0720-01-01T00:00:00Z
Aspasia,Aspasia,female,0470-01-01T00:00:00Z,0400-01-01T00:00:00Z
Elisabetha,Elise Wolf,female,1840-01-01T00:00:00Z,1924-01-01T00:00:00Z
Bertholda,"Berthold II, Duke of Carinthia",male,1000-01-01T00:00:00Z,1078-11-06T00:00:00Z
Diotima,Diotima of Mantinea,female,0450-01-01T00:00:00Z,0300-01-01T00:00:00Z
Cornelia,Cornelia,female,0190-01-01T00:00:00Z,0110-01-01T00:00:00Z
Valentine,Valentine Noémi Rothschild,female,1886-01-01T00:00:00Z,1969-01-01T00:00:00Z
Saskia,Saskia van Uylenburgh,female,1612-01-01T00:00:00Z,1642-06-14T00:00:00Z
Ocllo,Mama Ocllo,female,1400-01-01T00:00:00Z,1300-01-01T00:00:00Z
Gryphia,Andreas Gryphius,male,1616-10-02T00:00:00Z,1664-07-16T00:00:00Z
Mabella,Mabel Loomis Todd,female,1856-11-10T00:00:00Z,1932-10-14T00:00:00Z
Davida,David Peck Todd,male,1855-03-19T00:00:00Z,1939-06-01T00:00:00Z
Athalia,Athaliah,female,0898-01-01T00:00:00Z,0835-01-01T00:00:00Z
Adelaide,Adelaide of Saxe-Meiningen,female,1792-08-13T00:00:00Z,1849-12-02T00:00:00Z
Pauly,Max Pauly,male,1849-11-15T00:00:00Z,1917-04-26T00:00:00Z
Deborah,Deborah,female,1204-01-01T00:00:00Z,1144-01-01T00:00:00Z
Messalina,Messalina,female,0020-01-01T00:00:00Z,0048-01-01T00:00:00Z
Herodias,Herodias,female,0115-01-01T00:00:00Z,0039-01-01T00:00:00Z
Delila,Delilah,female,1100-01-01T00:00:00Z,1100-01-01T00:00:00Z
Salome,Salome,female,0014-01-01T00:00:00Z,0062-01-01T00:00:00Z
Happelia,Carl Happel,male,1819-01-01T00:00:00Z,1914-01-01T00:00:00Z
Thekla,Thecla,female,0100-01-01T00:00:00Z,0100-01-01T00:00:00Z
Tomyris,Tomyris,female,0600-01-01T00:00:00Z,0600-01-01T00:00:00Z
Bathseba,Bathsheba,female,1009-01-01T00:00:00Z,0937-01-01T00:00:00Z
Fulvia,Fulvia,female,0177-01-01T00:00:00Z,0140-01-01T00:00:00Z
Roswitha,Hrotsvitha,female,0935-01-01T00:00:00Z,0968-01-01T00:00:00Z
