spkid	Minor Planet Center body ID	full_name	Label full_name	named after	Description named_after	instance of named after	instance of instance of	subclass of instance of	author	country	coordinate location	taxon rank	date of birth	date of death	country of citizenship	occupation	sex or gender	name	diameter	first_obs
20000001	1	Ceres	Ceres	Ceres	Roman goddess of agriculture	Roman deity		deity									female	Ceres	939.4	1995-01-05
								mythological Roman character												
						agricultural deity		nature deity												
						goddess	fictional religious occupation	deity												
20000002	2	(2) Pallas		Athena	goddess of wisdom and war in ancient Greek religion and mythology	goddess	fictional religious occupation	deity									female	Pallas	513	1804-08-27
						Greek deity		deity												
								mythological Greek character												
						Olympian god		Greek deity												
						war deity		deity												
						art deity		deity												
						deity of wisdom		deity												
						deity of crafts		deity												
				Pallas	divine epithet of the goddess Athena	Greek deity		deity									female			
								mythological Greek character												
						epithet		epithet												
20000003	3	3 Juno	3 Juno	Juno	ancient Roman goddess	Roman deity		deity									female	Juno	246.596	1804-10-17
								mythological Roman character												
						goddess	fictional religious occupation	deity												
20000004	4	(4) Vesta		Vesta	goddess of the hearth, home, and family in Roman religion	Roman deity		deity									female	Vesta	522.77	1950-09-23
								mythological Roman character												
20000005	5	5 Astraea	5 Astraea	Astraea	ancient Greek religious figure	goddess	fictional religious occupation	deity									female	Astraea	106.699	1845-12-15
						Greek deity		deity												
								mythological Greek character												
20000006	6	6 Hebe	6 Hebe	Hebe	ancient Greek goddess of youth	goddess	fictional religious occupation	deity									female	Hebe	185.18	1848-09-05
						Greek deity		deity												
								mythological Greek character												
						Olympian god		Greek deity												
20000007	7	7 Iris	7 Iris	Iris	the personification of the rainbow in ancient Greek religion and mythology	Greek deity		deity									female	Iris	199.83	1848-08-23
								mythological Greek character												
						goddess	fictional religious occupation	deity												
						rainbow deity		weather deity												
20000008	8	8 Flora	8 Flora	Flora	goddess of prosperity in Roman mythology	Roman deity		deity									female	Flora	147.491	1847-10-27
								mythological Roman character												
						Sabine deity		deity												
								Italic divinity												
20000009	9	9 Metis	9 Metis	Metis	Oceanid of Greek mythology	Okeanid	group of Greek mythical characters	Greek water deities									female	Metis	190	1849-07-31
								Greek nymph												
								Oceanids												
						water deity		nature deity												
								water spirit												
20000010	10	10 Hygiea	10 Hygiea	Hygieia	goddess in Greek mythology, personification of health	Greek deity		deity									female	Hygiea	407.12	1849-05-26
								mythological Greek character												
20000011	11	11 Parthenope	11 Parthenope	Parthenope	one of the Sirens in Greek mythology	siren	class of mythical entities	waterwoman									female	Parthenope	142.887	1850-09-17
							group of mythical creatures	mythical hybrid												
20000012	12	12 Victoria	12 Victoria	Victoria	Roman goddess of victory	Roman deity		deity									female	Victoria	115.087	1850-09-18
								mythological Roman character												
						goddess	fictional religious occupation	deity												
						winged deity		deity												
20000013	13	13 Egeria	13 Egeria	Egeria	legendary wife of Roman king Numa and minor goddess	legendary figure		character that may or may not be fictional									female	Egeria	202.636	1850-11-21
						nymph in Roman mythology		nymph												
								Roman deity												
						Roman deity		deity												
								mythological Roman character												
20000014	14	14 Irene	14 Irene	Eirene	ancient Greek goddess of peace	Greek deity		deity									female	Irene	152	1851-05-20
								mythological Greek character												
						personification	stylistic device	artistic theme												
								abstract being												
								figure of speech												
20000015	15	15 Eunomia	15 Eunomia	Eunomia	Greek goddess of good order	Greek deity		deity									female	Eunomia	231.689	1851-09-02
								mythological Greek character												
20000016	16	16 Psyche	16 Psyche	Psyche	mythical lover of Eros/Cupid	Greek deity		deity									female	Psyche	222	1984-06-22
								mythological Greek character												
						mythological Greek character		mythical character												
20000017	17	17 Thetis	17 Thetis	Thetis	Nereid of Greek mythology	mythological Greek character		mythical character									female	Thetis	84.899	1852-04-17
20000018	18	18 Melpomene	18 Melpomene	Melpomene	Greek muse of tragedy	mythological Greek character		mythical character									female	Melpomene	139.594	1852-06-29
20000019	19	19 Fortuna	19 Fortuna	Fortuna	Roman goddess of fortune	Roman deity		deity									female	Fortuna	200	1852-09-14
								mythological Roman character												
20000020	20	20 Massalia	20 Massalia	Marseille	French commune in Bouches-du-Rhône, Provence-Alpes-Côte d'Azur; the second largest city of France	big city	classification of human settlements	city		France	43.296666666667,5.3763888888889							Massalia	135.680	1856-10-29
						port city		maritime settlement												
								city												
						commune of France	type of French administrative division	territorial collectivity of France												
								LAU 2												
								municipality												
								fourth-level administrative division												
								fifth-level administrative division												
								commune												
								electoral unit												
						college town		city												
								academic enclave												
20000021	21	21 Λουτησία		Lutetia	Roman city, predecessor of Paris	Roman archaeological site		archaeological site		Ancient Rome	48.85472222222222,2.3475							Lutetia	98	1866-04-06
						Roman city		ancient city												
								Roman archaeological site												
								administrative territorial entity of ancient Rome												
				Paris	capital city and largest city of France	territorial collectivity of France with special status		territorial collectivity of France		France	48.85666666666667,2.352222222222222									
						metropolis		big city												
						global city		city												
						megacity		million city												
						largest city	criterion	city												
						department of France	type of French administrative division	territorial collectivity of France												
								second-level administrative division												
								second-level administrative division												
								third-level administrative division												
								electoral unit												
								department												
								NUTS 3 statistical territorial entity												
20000022	22	22 Kalliope	22 Kalliope															Kalliope	167.536	1854-04-14
20000023	23	23 Thalia	23 Thalia	Thalia	Muse of comedy in Greek mythology	mythological Greek character		mythical character									female	Thalia	107.53	1856-10-19
20000024	24	24 Themis	24 Themis	Themis	in ancient Greek mythology, a titaness, the personification of divine order, fairness, law, natural law, and custom, whose symbols are the scales of justice	titan	mythical humanoid race	Greek deity									female	Themis	198	1853-04-27
								giant												
20000025	25	25 Φώκαια		Phocaea	ancient Greek city in Izmir Province, Turkey	city-state		city		Turkey	38.6675,26.758055555556							Phocaea	61.054	1860-03-11
								state												
								free city												
								polity												
						archaeological site		location of discovery												
								human-geographic territorial entity												
								geographic location												
						heritage		object												
						polis	administrative territorial entity type	city-state												
								ancient city												
20000026	26	26 Proserpina	26 Proserpina	Proserpina	ancient Roman goddess	Roman deity		deity									female	Proserpina	94.80	1861-01-31
								mythological Roman character												
20000027	27	27 Euterpe	27 Euterpe	Euterpe	muse of music in Greek mythology	mythological Greek character		mythical character									female	Euterpe	96	1853-11-10
20000028	28	28 Bellona	28 Bellona	Bellona	ancient Roman goddess of war, similar to the ancient Greek Enyo	Roman deity		deity									female	Bellona	120.90	1856-09-29
								mythological Roman character												
						war deity		deity												
20000029	29	29 Amphitrite	29 Amphitrite	Amphitrite	Oceanid or Nereid of Greek mythology	Greek deity		deity									female	Amphitrite	189.559	1855-07-25
								mythological Greek character												
						sea deity		water deity												
						Okeanid	group of Greek mythical characters	Greek water deities												
								Greek nymph												
								Oceanids												
20000030	30	30 Urania	30 Urania	Urania	Muse of astronomy and astrology in Greek mythology	mythological Greek character		mythical character									female	Urania	92.787	1860-02-22
20000031	31	31 Euphrosyne	31 Euphrosyne	Euphrosyne	deity, one of the Graces	Greek deity		deity									female	Euphrosyne	267.080	1860-10-25
								mythological Greek character												
20000032	32	32 Pomona	32 Pomona	Pomona	nymph and goddess of fertility	nymph in Roman mythology		nymph									female	Pomona	80.76	1864-01-07
								Roman deity												
20000033	33	33 Polyhymnia	33 Polyhymnia	Polyhymnia	Muse of sacred-poetry, sacred hymn and eloquence as well as muse of agriculture, geometry rhetoric, and pantomime in Greek mythology	mythological Greek character		mythical character									female	Polyhymnia	52.929	1856-01-25
20000034	34	34 Circe	34 Circe	Circe	enchantress-goddess in Greek mythology	Greek deity		deity								magician	female	Circe	132.992	1864-04-28
								mythological Greek character												
20000035	35	35 Leukothea	35 Leukothea	Leucothea	Greek sea goddess	water deity		nature deity									female	Leukothea	103.055	1860-03-11
								water spirit												
20000036	36	36 Atalante	36 Atalante	Atalanta	Greek mythological character, the only female Argonaut	mythological Greek character		mythical character									female	Atalante	132.842	1866-02-08
20000037	37	37 Fides	37 Fides	Fides	Roman goddess of trust	Roman deity		deity									female	Fides	108.35	1855-10-08
								mythological Roman character												
						personification	stylistic device	artistic theme												
								abstract being												
								figure of speech												
20000038	38	38 Leda	38 Leda	Leda	daughter of Thestius in Greek mythology	mythological Greek character		mythical character									female	Leda	92.255	1856-01-29
20000039	39	39 Laetitia	39 Laetitia	Laetitia	Minor Roman goddess of gaiety	Roman deity		deity										Laetitia	179.484	1856-02-28
								mythological Roman character												
						personification	stylistic device	artistic theme												
								abstract being												
								figure of speech												
20000040	40	40 Harmonia	40 Harmonia	Harmonia	ancient Greek goddess of harmony and concord, spouse of Cadmus; her opposite is Eris	mythological Greek character		mythical character									female	Harmonia	111.251	1860-07-10
