"spkid","full_name","name","diameter","first_obs"
20000001,"     1 Ceres (A801 AA)",Ceres,939.4,1995-01-05
20000002,"     2 Pallas (A802 FA)",Pallas,513,1804-08-27
20000003,"     3 Juno (A804 RA)",Juno,246.596,1804-10-17
20000004,"     4 Vesta (A807 FA)",Vesta,522.77,1950-09-23
20000005,"     5 Astraea (A845 XA)",Astraea,106.699,1845-12-15
20000006,"     6 Hebe (A847 NA)",Hebe,185.18,1848-09-05
20000007,"     7 Iris (A847 PA)",Iris,199.83,1848-08-23
20000008,"     8 Flora (A847 UA)",Flora,147.491,1847-10-27
20000009,"     9 Metis (A848 HA)",Metis,190,1849-07-31
20000010,"    10 Hygiea (A849 GA)",Hygiea,407.12,1849-05-26
20000011,"    11 Parthenope (A850 JA)",Parthenope,142.887,1850-09-17
20000012,"    12 Victoria (A850 RA)",Victoria,115.087,1850-09-18
20000013,"    13 Egeria (A850 VA)",Egeria,202.636,1850-11-21
20000014,"    14 Irene (A851 KA)",Irene,152,1851-05-20
20000015,"    15 Eunomia (A851 OA)",Eunomia,231.689,1851-09-02
20000016,"    16 Psyche (A852 FA)",Psyche,222,1984-06-22
20000017,"    17 Thetis (A852 HA)",Thetis,84.899,1852-04-17
20000018,"    18 Melpomene (A852 MA)",Melpomene,139.594,1852-06-29
20000019,"    19 Fortuna (A852 QA)",Fortuna,200,1852-09-14
20000020,"    20 Massalia (A852 SA)",Massalia,135.680,1856-10-29
20000021,"    21 Lutetia (A852 VA)",Lutetia,98,1866-04-06
20000022,"    22 Kalliope (A852 WA)",Kalliope,167.536,1854-04-14
20000023,"    23 Thalia (A852 XA)",Thalia,107.53,1856-10-19
20000024,"    24 Themis (A853 GA)",Themis,198,1853-04-27
20000025,"    25 Phocaea (A853 GB)",Phocaea,61.054,1860-03-11
20000026,"    26 Proserpina (A853 JA)",Proserpina,94.80,1861-01-31
20000027,"    27 Euterpe (A853 VA)",Euterpe,96,1853-11-10
20000028,"    28 Bellona (A854 EA)",Bellona,120.90,1856-09-29
20000029,"    29 Amphitrite (A854 EB)",Amphitrite,189.559,1855-07-25
20000030,"    30 Urania (A854 OA)",Urania,92.787,1860-02-22
20000031,"    31 Euphrosyne (A854 RA)",Euphrosyne,267.080,1860-10-25
20000032,"    32 Pomona (A854 UA)",Pomona,80.76,1864-01-07
20000033,"    33 Polyhymnia (A854 UB)",Polyhymnia,52.929,1856-01-25
20000034,"    34 Circe (A855 GA)",Circe,132.992,1864-04-28
20000035,"    35 Leukothea (A855 HA)",Leukothea,103.055,1860-03-11
20000036,"    36 Atalante (A855 TA)",Atalante,132.842,1866-02-08
20000037,"    37 Fides (A855 TB)",Fides,108.35,1855-10-08
20000038,"    38 Leda (A856 AA)",Leda,92.255,1856-01-29
20000039,"    39 Laetitia (A856 CA)",Laetitia,179.484,1856-02-28
20000040,"    40 Harmonia (A856 FA)",Harmonia,111.251,1860-07-10
20000041,"    41 Daphne (A856 KA)",Daphne,205.495,1866-07-13
20000042,"    42 Isis (A856 KB)",Isis,110.997,1856-06-20
20000043,"    43 Ariadne (A857 GA)",Ariadne,71.340,1864-08-03
20000044,"    44 Nysa (A857 KA)",Nysa,70.64,1864-03-02
20000045,"    45 Eugenia (A857 MA)",Eugenia,202.327,1866-05-19
20000046,"    46 Hestia (A857 QA)",Hestia,131.471,1864-04-05
20000047,"    47 Aglaja (A857 RA)",Aglaja,168.174,1860-02-24
20000048,"    48 Doris (A857 SA)",Doris,216.473,1860-02-27
20000049,"    49 Pales (A857 SB)",Pales,166.252,1863-11-20
20000050,"    50 Virginia (A857 TA)",Virginia,84.074,1857-10-20
20000051,"    51 Nemausa (A858 BA)",Nemausa,138.159,1863-09-12
20000052,"    52 Europa (A858 CA)",Europa,303.918,1860-07-09
20000053,"    53 Kalypso (A858 GA)",Kalypso,97.262,1866-01-01
20000054,"    54 Alexandra (A858 RA)",Alexandra,160.120,1996-05-23
20000055,"    55 Pandora (A858 RB)",Pandora,84.794,1876-08-07
20000056,"    56 Melete (A857 RB)",Melete,121.333,1865-06-13
20000057,"    57 Mnemosyne (A859 SA)",Mnemosyne,112.59,1859-12-22
20000058,"    58 Concordia (A860 FA)",Concordia,106.517,1864-02-09
20000059,"    59 Elpis (A860 RA)",Elpis,165.119,1865-12-09
20000060,"    60 Echo (A860 RB)",Echo,43.218,1861-01-01
20000061,"    61 Danae (A860 RC)",Danae,85.937,1865-08-27
20000062,"    62 Erato (A860 RD)",Erato,106.921,1906-01-24
20000063,"    63 Ausonia (A861 CA)",Ausonia,116.044,1861-03-01
20000064,"    64 Angelina (A861 EA)",Angelina,58.292,1861-03-08
20000065,"    65 Cybele (A861 EB)",Cybele,237.26,1861-03-12
20000066,"    66 Maja (A861 GA)",Maja,71.82,1861-04-10
20000067,"    67 Asia (A861 HA)",Asia,56.309,1864-03-02
20000068,"    68 Leto (A861 HB)",Leto,122.509,1863-11-30
20000069,"    69 Hesperia (A861 HC)",Hesperia,138.13,1861-04-29
20000070,"    70 Panopaea (A861 JA)",Panopaea,127.911,1866-09-19
20000071,"    71 Niobe (A861 PA)",Niobe,83.42,1864-01-14
20000072,"    72 Feronia (A861 KA)",Feronia,74.966,1865-06-23
20000073,"    73 Klytia (A862 GA)",Klytia,44.590,1864-10-02
20000074,"    74 Galatea (A862 QA)",Galatea,118.71,1864-01-30
20000075,"    75 Eurydike (A862 SA)",Eurydike,62.377,1864-02-02
20000076,"    76 Freia (A862 UA)",Freia,145.423,1864-04-06
20000077,"    77 Frigga (A862 VA)",Frigga,61.390,1879-07-18
20000078,"    78 Diana (A863 EA)",Diana,120.60,1863-04-10
20000079,"    79 Eurynome (A863 RA)",Eurynome,63.479,1863-10-05
20000080,"    80 Sappho (A864 JA)",Sappho,68.563,1865-10-08
20000081,"    81 Terpsichore (A864 SA)",Terpsichore,117.727,1864-11-19
20000082,"    82 Alkmene (A864 WA)",Alkmene,57.621,1864-12-05
20000083,"    83 Beatrix (A865 HA)",Beatrix,110.503,1865-05-13
20000084,"    84 Klio (A865 QA)",Klio,79.16,1865-08-25
20000085,"    85 Io (A865 SA)",Io,154.79,1865-09-21
20000086,"    86 Semele (A866 AA)",Semele,109.929,1871-12-29
20000087,"    87 Sylvia (A866 KA)",Sylvia,253.051,1885-05-05
20000088,"    88 Thisbe (A866 LA)",Thisbe,232,1866-06-21
20000089,"    89 Julia (A866 PA)",Julia,145.483,1866-08-07
20000090,"    90 Antiope (A866 TA)",Antiope,115.974,1866-10-01
20000091,"    91 Aegina (A866 VA)",Aegina,103.402,1866-11-10
20000092,"    92 Undina (A867 NA)",Undina,126.42,1871-03-09
20000093,"    93 Minerva (A867 QA)",Minerva,154.155,1870-02-25
20000094,"    94 Aurora (A867 RA)",Aurora,204.89,1872-07-26
20000095,"    95 Arethusa (A867 WA)",Arethusa,147.969,1872-09-23
20000096,"    96 Aegle (A868 DA)",Aegle,177.774,1868-02-20
20000097,"    97 Klotho (A868 DB)",Klotho,100.717,1870-07-23
20000098,"    98 Ianthe (A868 HA)",Ianthe,132.788,1870-10-17
20000099,"    99 Dike (A868 KA)",Dike,67.354,1915-01-20
20000100,"   100 Hekate (A868 NA)",Hekate,85.734,1871-01-15
20000101,"   101 Helena (A868 PA)",Helena,65.84,1871-03-22
20000102,"   102 Miriam (A868 QA)",Miriam,82.595,1870-01-28
20000103,"   103 Hera (A868 RA)",Hera,83.908,1871-04-04
20000104,"   104 Klymene (A868 RB)",Klymene,136.553,1885-09-16
20000105,"   105 Artemis (A868 SA)",Artemis,94.864,1904-06-18
20000106,"   106 Dione (A868 TA)",Dione,207.869,1871-03-16
20000107,"   107 Camilla (A868 WA)",Camilla,210.370,1868-12-05
20000108,"   108 Hecuba (A869 GB)",Hecuba,75.498,1880-01-26
20000109,"   109 Felicitas (A869 TA)",Felicitas,82.588,1996-05-28
20000110,"   110 Lydia (A870 HA)",Lydia,86.09,1994-11-04
20000111,"   111 Ate (A870 PA)",Ate,126.344,1870-08-15
20000112,"   112 Iphigenia (A870 SA)",Iphigenia,69.818,1870-09-21
