"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
20000022,"    22 Kalliope (A852 WA)",22,Kalliope,,N,N,1,6.80,0.21,,,,,,167.536,,0.166,4.1483,0.491,0.715,0.234,,X,M,,3.05,"JPL 130",2460800.5,60800,2025-05-05.0,J2000,0.0989,2.91,2.622,13.70,65.97,358.12,271.07,3.20,0.1985,2461248.43,2026-07-26.9,1.81e+03,4.96,1.64,636,2.13,3.23,3.1e-09,2.8e-09,8.6e-09,3.1e-07,1.2e-06,1.9e-06,2.0e-06,3.1e-09,2.9e-10,1.1e-05,2.6e-06,MBA,"Otto Matic",62303,1854-04-14,2024-11-11,12295,,,0,.2651,,,,,,,,,
20000031,"    31 Euphrosyne (A854 RA)",31,Euphrosyne,,N,N,1,6.83,,,,,,,267.080,,0.053,5.53,,0.687,0.317,,Cb,C,,2.61,"JPL 128",2460800.5,60800,2025-05-05.0,J2000,0.2160,3.161,2.478,26.32,30.80,61.93,112.87,3.84,0.1754,2460156.87,2023-07-31.3,2.05e+03,5.62,1.59,619,1.97,3.01,3.0e-09,3.4e-09,8.8e-09,2.8e-07,7.3e-07,1.1e-06,1.1e-06,4.2e-09,2.9e-10,5.6e-06,3.4e-06,MBA,"Otto Matic",60057,1860-10-25,2025-03-31,3722,,,0,.45926,,,,,,,,,
20000041,"    41 Daphne (A856 KA)",41,Daphne,,N,N,1,7.58,0.10,,,,,,205.495,,0.059,5.988,,0.726,0.363,,Ch,C,,1.88,"JPL 161",2460800.5,60800,2025-05-05.0,J2000,0.2708,2.77,2.020,15.72,177.73,46.71,245.83,3.52,0.2138,2461334.50,2026-10-20.9,1.68e+03,4.61,1.05,407,1.57,3.23,2.0e-09,1.5e-09,5.5e-09,1.8e-07,6.1e-07,7.2e-07,7.4e-07,1.9e-09,1.7e-10,3.8e-06,1.3e-06,MBA,"Otto Matic",57976,1866-07-13,2025-04-06,7929,,,0,.30036,,,,,,,,,
20000045,"    45 Eugenia (A857 MA)",45,Eugenia,,N,N,2,7.77,0.07,,,,,,202.327,,0.045,5.699,,0.676,0.274,,C,FC,,2.17,"JPL 141",2460800.5,60800,2025-05-05.0,J2000,0.0828,2.72,2.495,6.61,147.58,87.32,162.58,2.95,0.2197,2460060.54,2023-04-26.0,1.64e+03,4.49,1.49,582,2.06,3.34,1.9e-09,2.0e-09,5.5e-09,1.8e-07,1.7e-06,2.3e-06,1.4e-06,2.1e-09,2.4e-10,6.6e-06,1.8e-06,MBA,"Otto Matic",57967,1866-05-19,2025-02-01,12573,,,0,.27546,,,,,,,,,
20000087,"    87 Sylvia (A866 KA)",87,Sylvia,,N,N,2,6.94,,,,,,,253.051,,0.046,5.184,,0.710,0.251,,X,P,,2.95,"JPL 122",2460800.5,60800,2025-05-05.0,J2000,0.0942,3.48,3.152,10.88,73.01,264.99,65.47,3.81,0.1518,2460369.33,2024-02-28.8,2.37e+03,6.49,2.17,844,1.57,3.09,2.3e-09,5.8e-09,5.0e-09,1.7e-07,6.1e-07,1.4e-06,1.7e-06,6.3e-09,3.8e-10,1.1e-05,5.9e-06,OMB,"Otto Matic",51060,1885-05-05,2025-02-20,6964,,,0,.33586,,,,,,,,,
20000090,"    90 Antiope (A866 TA)",90,Antiope,,N,N,1,8.43,,,,,,,115.974,,0.058,16.509,,0.688,0.317,,C,C,,1.11,"JPL 137",2460800.5,60800,2025-05-05.0,J2000,0.1719,3.143,2.602,2.21,69.90,244.38,173.66,3.68,0.1769,2459818.86,2022-08-27.3,2.03e+03,5.57,1.59,619,1.6,3.19,2.0e-09,3.4e-09,5.0e-09,1.1e-07,3.0e-06,3.0e-06,1.1e-06,4.0e-09,2.9e-10,5.1e-06,3.3e-06,MBA,"Otto Matic",57898,1866-10-01,2025-04-08,7230,,,0,.3581,,,,,,,,,
20000093,"    93 Minerva (A867 QA)",93,Minerva,,N,N,2,7.90,,,,,,,154.155,,0.056,5.982,,0.685,0.315,,C,CU,,1.30,"JPL 145",2460800.5,60800,2025-05-05.0,J2000,0.1427,2.753,2.360,8.54,3.82,275.89,229.97,3.15,0.2157,2461403.25,2026-12-28.7,1.67e+03,4.57,1.36,531,2.06,3.31,2.1e-09,2.0e-09,5.8e-09,1.3e-07,1.3e-06,1.5e-06,9.9e-07,2.3e-09,2.4e-10,5.0e-06,1.8e-06,MBA,"Otto Matic",56651,1870-02-25,2025-04-04,5144,,,0,.37385,,,,,,,,,
20000107,"   107 Camilla (A868 WA)",107,Camilla,,N,N,2,7.11,0.08,,,,,,210.370,,0.059,4.844,0.7475,0.705,0.298,,X,C,,8.33,"JPL 141",2460800.5,60800,2025-05-05.0,J2000,0.0658,3.489,3.260,10.00,172.57,304.43,301.59,3.72,0.1512,2461186.74,2026-05-26.2,2.38e+03,6.52,2.29,891,1.36,3.1,2.5e-09,6.4e-09,1.3e-08,1.7e-07,1.4e-06,3.1e-06,2.3e-06,6.8e-09,4.2e-10,1.5e-05,6.6e-06,OMB,"Otto Matic",57053,1868-12-05,2025-02-18,6089,,,0,.35513,,,,,,,,,
20000121,"   121 Hermione (A872 JA)",121,Hermione,,N,N,1,7.42,,,,,,,209.00,,0.0482,5.55128,,0.739,0.425,,Ch,C,,4.70,"JPL 142",2460800.5,60800,2025-05-05.0,J2000,0.1249,3.456,3.025,7.57,72.87,297.06,197.27,3.89,0.1534,2461861.40,2028-03-30.9,2.35e+03,6.43,2.03,792,1.62,3.11,2.3e-09,5.1e-09,9.3e-09,1.9e-07,1.2e-06,1.8e-06,2.3e-06,5.7e-09,3.4e-10,1.7e-05,5.2e-06,OMB,"Otto Matic",55821,1872-06-07,2025-04-07,8134,,,0,.30682,,,,,,,,,
20000130,"   130 Elektra (A873 DA)",130,Elektra,,N,N,3,7.47,,,,,,,180.652,,0.086,5.225,,0.753,0.483,,Ch,G,,2.70,"JPL 144",2460800.5,60800,2025-05-05.0,J2000,0.2095,3.124,2.470,22.78,144.97,237.90,337.76,3.78,0.1785,2460925.13,2025-09-06.6,2.02e+03,5.52,1.54,599,1.91,3.06,3.0e-09,3.5e-09,1.2e-08,2.1e-07,4.2e-07,7.1e-07,1.1e-06,4.3e-09,3.0e-10,6.6e-06,3.4e-06,MBA,"Otto Matic",47860,1893-11-14,2024-11-27,16469,,,0,.19766,,,,,,,,,
